#truck 4
1 12800 2450 2800 20411 10432 914 9979 10700
2 10000 2400 2200 15000 7500 700 7500 8800
3 7000 2400 1500 7000 3700 500 3300 6200
4 10000 2400 2200 15000 8700 700 6300 8800
#pallet 3
1 1200 1600 1800
2 1200 1600 1500
3 1200 1600 2400
#demand 40
1 2 318 2
2 3 534 2
3 4 395 1
4 5 591 1
5 6 296 2
6 7 407 1
7 8 253 3
8 9 578 2
9 10 402 2
10 1 286 1
11 2 421 1
12 3 280 1
13 4 354 1
14 5 327 2
15 6 503 3
16 7 461 3
17 8 485 3
18 9 465 1
19 10 616 1
20 1 467 2
21 2 428 2
22 3 487 3
23 4 656 2
24 5 284 3
25 6 365 2
26 7 656 2
27 8 297 1
28 9 502 3
29 10 296 3
30 1 517 1
31 2 577 3
32 3 387 1
33 4 474 1
34 5 344 1
35 6 640 2
36 7 571 1
37 8 412 2
38 9 715 1
39 10 694 3
40 1 486 2
#distances 10 10
0	1311	918	987	1240	1531	910	681	861	1044	1479
1311	0	575	361	1127	1508	607	671	686	607	1317
918	575	0	243	644	1040	34	543	112	151	882
987	361	243	0	873	1268	277	437	347	339	1099
1240	1127	644	873	0	397	615	1150	575	538	255
1531	1508	1040	1268	397	0	1010	1535	967	932	206
910	607	34	277	615	1010	0	562	80	143	855
681	671	543	437	1150	1535	562	0	580	692	1400
861	686	112	347	575	967	80	580	0	184	822
1044	607	151	339	538	932	143	692	184	0	760
1479	1317	882	1099	255	206	855	1400	822	760	0
