#truck 2
1 12000 2450 2800 20411 10432 914 9979 10700
2 10000 2400 2800 15000 8700 700 6300 8800
#pallet 3
1 1200 1600 1800
2 1200 1600 1500
3 1200 1600 2400
#demand 25
1 2 744 3
2 3 609 1
3 4 368 1
4 5 693 1
5 1 482 3
6 2 585 3
7 3 309 1
8 4 378 3
9 5 271 3
10 1 384 3
11 2 541 3
12 3 424 2
13 4 329 1
14 5 481 2
15 1 567 2
16 2 621 2
17 3 735 3
18 4 574 2
19 5 620 2
20 1 404 3
21 2 466 3
22 3 559 3
23 4 638 3
24 5 302 2
25 1 498 1
#distances 5 5
0	1311	918	987	1240	1531
1311	0	575	361	1127	1508
918	575	0	243	644	1040
987	361	243	0	873	1268
1240	1127	644	873	0	397
1531	1508	1040	1268	397	0


