#truck 5
1 12800 2450 2800 20411 10432 914 9979 10700
2 10000 2400 2200 15000 8700 700 6300 8800
3 12800 2450 2800 20411 10432 914 9979 10700
4 12800 2450 2200 20411 10432 914 9979 10700
5 12800 2450 2200 20411 10432 914 9979 10700
#pallet 3
1 1200 1600 1800
2 1200 1600 1500
3 1200 1600 2400
#demand 50
1 2 628 2
2 3 465 2
3 4 394 3
4 5 439 3
5 1 304 1
6 2 682 3
7 3 651 1
8 4 361 1
9 5 462 1
10 1 739 2
11 2 706 3
12 3 637 3
13 4 382 3
14 5 657 1
15 1 409 2
16 2 697 2
17 3 706 2
18 4 348 2
19 5 269 3
20 1 717 1
21 2 586 3
22 3 619 3
23 4 703 3
24 5 560 2
25 1 619 2
26 2 739 2
27 3 299 3
28 4 472 2
29 5 273 3
30 1 368 1
31 2 323 2
32 3 357 3
33 4 327 1
34 5 573 2
35 1 285 3
36 2 316 3
37 3 334 2
38 4 491 1
39 5 666 1
40 1 535 3
41 2 445 2
42 3 713 3
43 4 565 3
44 5 636 3
45 1 251 1
46 2 291 2
47 3 349 1
48 4 740 3
49 5 417 3
50 1 683 1
#distances 5 5
0	1311	918	987	1240	1531
1311	0	575	361	1127	1508
918	575	0	243	644	1040
987	361	243	0	873	1268
1240	1127	644	873	0	397
1531	1508	1040	1268	397	0



