#truck 10
1 13500 2450 2450 20411 10432 914 9979 12716
#pallet 1
1 1200 1600 1800
#demand 80
1 2 511 1
2 3 724 1
3 4 348 1
4 5 543 1
5 6 436 1
6 7 584 1
7 8 320 1
8 9 623 1
9 10 681 1
10 1 650 1
11 2 520 1
12 3 502 1
13 4 301 1
14 5 258 1
15 6 291 1
16 7 671 1
17 8 260 1
18 9 427 1
19 10 258 1
20 1 466 1
21 2 426 1
22 3 464 1
23 4 435 1
24 5 475 1
25 6 276 1
26 7 733 1
27 8 677 1
28 9 268 1
29 10 275 1
30 1 253 1
31 2 544 1
32 3 600 1
33 4 633 1
34 5 351 1
35 6 507 1
36 7 565 1
37 8 484 1
38 9 382 1
39 10 414 1
40 1 478 1
41 2 336 1
42 3 402 1
43 4 581 1
44 5 338 1
45 6 739 1
46 7 597 1
47 8 267 1
48 9 641 1
49 10 637 1
50 1 539 1
51 2 677 1
52 3 624 1
53 4 724 1
54 5 533 1
55 6 655 1
56 7 718 1
57 8 646 1
58 9 584 1
59 10 498 1
60 1 325 1
61 2 735 1
62 3 333 1
63 4 281 1
64 5 644 1
65 6 505 1
66 7 373 1
67 8 603 1
68 9 467 1
69 10 621 1
70 1 486 1
71 2 512 1
72 3 516 1
73 4 497 1
74 5 516 1
75 6 488 1
76 7 478 1
77 8 318 1
78 9 302 1
79 10 401 1
80 1 683 1
#distances 10 10
0	1134	870	1357	826	681	1633	879	1239	1524	668
1134	0	373	435	653	834	606	409	412	393	467
870	373	0	779	288	462	764	50	719	742	264
1357	435	779	0	1068	1226	862	823	126	410	762
826	653	288	1068	0	217	903	245	1006	995	441
681	834	462	1226	217	0	1120	430	1149	1197	512
1633	606	764	862	903	1120	0	759	917	475	990
879	409	50	823	245	430	759	0	766	767	300
1239	412	719	126	1006	1149	917	766	0	496	666
1524	393	742	410	995	1197	475	767	496	0	859
668	467	264	762	441	512	990	300	666	859	0
