#truck 5
1 12800 2450 2800 20411 10432 914 9979 10700
#pallet 1
1 1200 1600 1800
#demand 50
1 2 1977 1
2 3 1970 1
3 4 1768 1
4 5 1039 1
5 1 1672 1
6 2 1999 1
7 3 1328 1
8 4 1234 1
9 5 1488 1
10 1 1918 1
11 2 1514 1
12 3 1349 1
13 4 1922 1
14 5 1824 1
15 1 1121 1
16 2 1914 1
17 3 1521 1
18 4 1880 1
19 5 1369 1
20 1 1007 1
21 2 1286 1
22 3 1358 1
23 4 1077 1
24 5 1799 1
25 1 1282 1
26 2 1078 1
27 3 1831 1
28 4 1507 1
29 5 1005 1
30 1 1996 1
31 2 1975 1
32 3 1618 1
33 4 1594 1
34 5 1027 1
35 1 1960 1
36 2 1511 1
37 3 1161 1
38 4 1795 1
39 5 1336 1
40 1 1281 1
41 2 1252 1
42 3 1554 1
43 4 1084 1
44 5 1618 1
45 1 1098 1
46 2 1525 1
47 3 1022 1
48 4 1145 1
49 5 1786 1
50 1 1538 1
#distances 5 5
0	1311	918	987	1240	1531
1311	0	575	361	1127	1508
918	575	0	243	644	1040
987	361	243	0	873	1268
1240	1127	644	873	0	397
1531	1508	1040	1268	397	0



