#truck 1
1 13500 2450 2450 20411 10432 914 9979 12716
#pallet 3
1 1200 840 1800
#demand 16
1 2 696 1
2 3 389 1
3 4 516 1
4 5 356 1
5 1 534 1
6 2 289 1
7 3 609 1
8 4 499 1
9 5 630 1
10 1 717 1
11 2 496 1
12 3 503 1
13 4 698 1
14 5 369 1
15 1 528 1
16 2 367 1
#distances 8 8
0	1134	870	1357	826	681	1633	879	1239
1134	0	373	435	653	834	606	409	412
870	373	0	779	288	462	764	50	719
1357	435	779	0	1068	1226	862	823	126
826	653	288	1068	0	217	903	245	1006
681	834	462	1226	217	0	1120	430	1149
1633	606	764	862	903	1120	0	759	917
879	409	50	823	245	430	759	0	766
1239	412	719	126	1006	1149	917	766	0

